Task,model_A,model_B,model_C,model_D,model_E
math,0.8705455687036303,0.7398013345406322,0.7032783209322624,0.3775938189131965,0.3499370627516759
reasoning,0.7724393395397608,0.894694414638698,0.5694473317489479,0.6193823453859103,0.3644904525590795
reasoning,0.7699664593834696,0.6839165764189854,0.628488619982951,0.6666528336221004,0.3293977628591881
reasoning,0.8001012744020888,0.5927010742927139,0.8042276627661302,0.6391343901605248,0.36140292661022233
code,1.0,0.644745280812989,0.7494351519815423,0.5295644273354352,0.16499698906828175
reasoning,1.0,0.8494298826687623,0.7402271399943453,0.5209558517988852,0.5044582400793628
reasoning,0.8717207937528401,0.775473113738021,0.6000127569589149,0.5944145171087258,0.6554193841256071
code,0.8035232776088272,0.7371122621311247,0.7043032279289653,0.631575448665207,0.4647820739036527
math,0.7322773582548789,0.6990906194688431,0.6266102199546406,0.6102473436282364,0.30837311406593926
math,0.8968540161546069,0.798535990755319,0.6303906789323063,0.6540057890793389,0.3857223617100052
writing,1.0,0.6650895149009777,0.690968534374655,0.4481130042933265,0.4041123154975003
reasoning,0.8252659612974843,0.7805665568642596,0.5903006411579068,0.5272229020876366,0.34824152227866245
code,0.6121003959246776,0.6768745431187043,0.7993003104443204,0.4559984067876246,0.5360182638395157
math,0.9170049671815523,0.6602340614724946,0.6339869860402063,0.5113887223913859,0.5310260044375334
writing,0.9485399711450049,0.6862512565174989,0.7118360566259665,0.6515220891814306,0.33445482061823406
code,0.6914154359614152,0.7124592553516038,0.7955600479257299,0.5607983920725229,0.5225081044447508
writing,0.8676484183662952,0.7451170164066296,0.7531653774575175,0.8106859163149771,0.6026812663577266
writing,0.8951226016136099,0.7735455795111115,0.5091080897309476,0.5693406367189717,0.640255820522956
math,0.8426892697991061,0.3811634708571556,0.6944895895009885,0.5559691880579737,0.7365212023085963
code,0.7709229080914646,0.6692349442253235,0.7350719394460647,0.5606182919440217,0.3598007350556803
writing,0.9515937223563556,0.7108430022643961,0.739186302216075,0.48621913071400646,0.7324220426395203
reasoning,0.8096620254031317,0.900506203860833,0.5386705165885369,0.5442163387622406,0.4145793611491212
reasoning,0.7014813837300068,0.6419997391617868,0.5842964762982676,0.6627788027111646,0.3907534544619486
code,0.6450525514330319,0.7662796618099913,0.7494558235741622,0.5613970668127772,0.48270723748778455
math,0.976084951999931,0.8995030309735838,0.5738239629317354,0.47065402701165293,0.39179386659069876
writing,0.9116663976471118,0.6187031470052727,0.6200303943335685,0.45749153795213654,0.4899044140646526
reasoning,0.8587973547129168,0.7893975225864402,0.807587580950197,0.5049798108334157,0.3179922812262699
code,0.8059725363149196,0.669772816606548,0.645220074961521,0.5573863434410881,0.42612473979365656
code,0.7971001585796873,0.6995366257710766,0.5773225862166157,0.6693586535476262,0.5785582234361679
reasoning,0.7424263351558389,0.6696889166046686,0.5622382643137095,0.41595113586335636,0.44429387085688443
reasoning,0.8068544355440115,0.6768142691584114,0.6832719329585188,0.5180173722111244,0.46415957867398827
reasoning,0.6379912784879825,1.0,0.5166851991522792,0.5644310019435079,0.4975258604717312
math,0.7763936346531486,0.8344455872071666,0.6252664036103582,0.3666294232370566,0.567066162931766
reasoning,0.8189062483648906,0.860173786178621,0.6833230534990022,0.4666401717033594,0.2844775287810567
math,0.9109880047190418,0.7991993486836496,0.7799149820547668,0.4820111460263814,0.5084524051837435
writing,0.8460073536626636,0.5893743211598041,0.7167548080369996,0.4704029626149502,0.4231860860758237
code,0.929492311387556,0.7894957970323307,0.5785934882017821,0.5691889545021648,0.46666378953118387
math,0.9849135105113429,0.8572929614507346,0.767841931756372,0.5339440390498204,0.5559950169762377
writing,0.9558170093824101,0.6646600525960888,0.6200484962452523,0.4944713897398964,0.3305813348588156
writing,0.8970509847378556,0.8465326667161126,0.5264296977950591,0.5927962626552635,0.34873555585569105
code,0.8511862679180784,0.8204336209854078,0.6327958640734528,0.7223074717646251,0.2564570040286194
code,0.7519211991586441,0.935204004481367,0.7938169201145702,0.7139256516741752,0.39508410582362236
reasoning,0.9239944051379316,0.7082216987486382,0.6665240050064926,0.35772282279376644,0.5830432344378816
reasoning,1.0,0.6402389017724273,0.6512521864329787,0.607707218383514,0.4379412811526531
math,0.8842106039650418,0.7138371890627454,0.8137211644702853,0.5321976709936163,0.31598751043452145
reasoning,1.0,0.8935570993163624,0.5068645152945573,0.5655155342865357,0.4014321255424953
math,0.6974428291938916,0.5671594119158037,0.5214400885947228,0.5101716966457452,0.3012138296509377
math,0.7345836615220458,0.5431624284568968,0.48841535290331684,0.5617588629887202,0.3374813898268838
reasoning,0.9355201507748262,0.7589395278931613,0.6872648186480055,0.5651407396072019,0.48888189102637136
writing,0.876429021015325,0.7057410707225844,0.6666493127115125,0.4921048242651077,0.3326126673693971
reasoning,0.9813782176571808,0.7507727893175684,0.8042736367279777,0.46036324521748195,0.5612634305203302
code,0.848452835927326,0.8445311771235865,0.674347507713677,0.5051304317380516,0.4428879709169664
writing,0.7632024577471668,0.6947430653881148,0.6095842840520698,0.5734259264456766,0.45855947039445255
writing,0.8286406757794957,0.5626994169069379,0.6501794872878107,0.6098996341684264,0.4221627032392106
writing,0.6967316029076266,0.9544481557199944,0.6617707418460959,0.6353348977340147,0.5272847838543724
math,0.7371409326902965,0.6502771712561224,0.4828238726671833,0.5005809976933088,0.5283159887777011
math,0.947244399791801,0.6440962877987902,0.9210331644334893,0.5783844567302737,0.48350543519121714
code,0.937278741446961,0.8603720013722597,0.7019871018101912,0.6462502591953299,0.5064789105907648
code,0.8863004284806076,0.7115510878958482,0.6710008308022589,0.6665594895144129,0.42879103300795746
reasoning,0.6778922479039531,0.7436610147965189,0.7115163984278581,0.5441167145868478,0.5042203006909048
reasoning,0.8141596424487111,0.7982790124060318,0.7209410980586606,0.5279068275060388,0.41621222245261935
writing,0.7275000111339949,0.8583583103109995,0.6359446514497569,0.5691124233836393,0.4502231622162402
writing,0.9676533253787765,0.7166539306818228,0.58687588637593,0.4350292527102595,0.4225356250633703
reasoning,0.7916277866437399,0.9019952005914299,0.7099450686321704,0.5306390488964492,0.40427814606808044
code,0.741425228921845,0.5364200151265195,0.6885710840531453,0.6244586398473131,0.381088820227821
reasoning,0.8529796165121424,0.8259787236953078,0.5690109900910592,0.6141947129443701,0.49676901038588855
writing,0.7859845543165388,0.6660472441982342,0.7919035611367264,0.5229732395636112,0.5810605912813464
reasoning,0.9983743910203706,0.8872271316607991,0.6793352036322984,0.5717718201087167,0.567110197166956
code,0.7765189102465809,0.7642044478830545,0.7229819362267631,0.4675349659709313,0.32434346640545647
math,0.7100771740775369,0.6827094667990599,0.789192088767992,0.6203492148225025,0.5789203051406874
code,0.6347086484242483,0.8162841093021632,0.6521888821164835,0.5422178563863528,0.4181841498382071
writing,0.8469213497586584,0.8393188347207252,0.6816952006984116,0.5224048548303862,0.5100733015145592
writing,0.7938069886142074,0.8141894122858638,0.7310027238506117,0.5138276163906614,0.3593784667952789
writing,0.7071095393488273,0.647030376036694,0.5775138916199948,0.5437106133100142,0.46419799138740053
reasoning,0.9689226461255785,0.7015982876377915,0.6554051662846001,0.5052122355068042,0.48137231828969074
math,0.9167245147429242,0.7495927162878565,0.6625548586651149,0.6158143036002564,0.3015395208080347
code,0.847178212106277,0.7458740347349939,0.5543941448316606,0.510471645198382,0.5108267166344189
math,0.9864326244170867,0.8249745475438348,0.8817636788673879,0.7092964096027382,0.5845935007838315
writing,0.9162536033398613,0.5485098767493392,0.5092706556507598,0.6965210503481382,0.4325352054318372
writing,0.7677144098481568,0.7834327054553504,0.5201896096312842,0.46084565101454955,0.5860168130828013
code,0.7460779836009234,0.721001864556336,0.781422657570358,0.5569704269429281,0.43103065065475926
code,0.9317981544453862,0.6661499383616047,0.7213266250796543,0.4849343378663805,0.5349584531046617
reasoning,0.8896366956467351,0.67575132222304,0.5474035182519222,0.5173352436811389,0.22814300340489005
code,0.8669747767970661,0.7285462335482036,0.7107289015101693,0.7502427467644798,0.6918777779313463
reasoning,0.7653502197131092,0.3898914895540482,0.796785044499731,0.5192428582884201,0.5995458245242957
writing,0.9107947567005754,0.679871042920845,0.6469736942403015,0.586022603707743,0.42153744957463213
writing,0.774450111686605,0.6624185175353706,0.9098822900074582,0.6041321294008278,0.2527910973356182
