case_num,description,model_A,model_B,model_C,model_D,model_E,model_F,model_G,model_H,task_type
1,Test case 1,0.9519928605427754,0.6663359392573232,0.8667337713197157,0.7431759629143018,0.658707987281492,0.6282594649556037,0.39878320267560335,0.39086506202017224,code
2,Test case 2,0.9034703949636198,0.9814359945056955,0.8221727648894628,0.5677539589229539,0.6381967047734954,0.6095353598959825,0.6109814608588204,0.5887965583973368,code
3,Test case 3,0.9529566923822751,0.6383971701665805,0.5194463846628327,0.7468203494974922,0.6668617147437943,0.6396458252016957,0.7177284915791898,0.3867192400777818,qa
4,Test case 4,0.8128935971099147,0.9080822080444176,0.8278195985190782,0.7075498764372508,0.5195443244911062,0.36189255318741986,0.5835586871360465,0.5906232359262553,code
5,Test case 5,0.7991734853916679,0.7846937068560185,0.8062656243203103,0.9118749847825753,0.657430217952394,0.4089401009193877,0.586177758012086,0.4942302156135341,code
6,Test case 6,0.7752214895634018,0.7561968858732684,0.7613087234221203,0.7189654701782591,0.598613436499748,0.664768629234038,0.5241026247823506,0.2710954845753678,qa
7,Test case 7,0.8374713377230562,0.8113968085039189,0.5626920730997371,0.6644472464645754,0.6496735478341314,0.41375779666957024,0.4546759790863207,0.3751990513399465,qa
8,Test case 8,0.807799410329092,0.8560471767729241,0.6580368947955796,0.5929212328594864,0.5489900549163544,0.6044395778576348,0.583262094413008,0.27150614671278955,code
9,Test case 9,0.9708274740652139,0.7024170926240558,0.619032008760879,0.6041470918758715,0.5629222542889115,0.5290807486824851,0.3565345661026503,0.5663282132794208,math
10,Test case 10,0.8024676582317811,0.7112783703402856,0.5342134417635765,0.5959945190246128,0.7388127734652417,0.4646667897261146,0.46536734465077545,0.4475264579197599,code
11,Test case 11,0.7697278283775083,0.8578176293684314,0.7354227705728063,0.8156813099626208,0.5162738155945553,0.5992506900004616,0.3300371769091389,0.22716575600502198,code
12,Test case 12,1.0,0.6221228474921828,0.6559320735700077,0.6803684200730756,0.5236531313243666,0.5843890646573714,0.43677721941134884,0.48757468817196586,qa
13,Test case 13,0.8048624768918656,0.7344342335379342,0.9982448437411768,0.7350961409689016,0.6162704457070136,0.775319979495352,0.5713473663322133,0.396283573761168,qa
14,Test case 14,0.8653528457250351,1.0,0.7188370917704947,0.8299961885695173,0.5442395339099759,0.5018045938321254,0.5576821947649034,0.3016194144966677,code
15,Test case 15,0.8951322824743412,0.6960558463982147,0.8650896013008817,0.4427250143506821,0.5329257082022916,0.7082967262926316,0.5122342266964044,0.6177965836968697,code
16,Test case 16,0.7363306881079185,0.907637422033118,0.5788043832449632,0.806458805041466,0.6319361685494009,0.5995280057241458,0.5241829565490582,0.4607285866096579,qa
17,Test case 17,0.9735483769503069,0.7342620659857616,0.6827053271137987,0.684111119749762,0.470921985738201,0.498183526131443,0.3185563953564362,0.42065685976866873,code
18,Test case 18,0.9137119040411228,0.8437616573368572,0.7454040733177171,0.722076265735473,0.5206323479372077,0.6442103600374388,0.4698866290857656,0.4100575219013983,math
19,Test case 19,1.0,0.8582927119167646,0.6448988908535186,0.5957311063966035,0.8268381297209357,0.6208595647311094,0.43900769649933613,0.2986720530842228,code
20,Test case 20,0.7820778062781899,0.9057528163754376,0.6934942172338112,0.6030589887265767,0.6673760773254723,0.5678700437715192,0.44123688809140305,0.31954511004158903,qa
21,Test case 21,0.859912579247616,0.7728317601758652,0.7139191950899317,0.7274560175527274,0.5467722362015803,0.5909152499297766,0.5671007199242325,0.5784916784875084,qa
22,Test case 22,0.8539355754994196,0.9917456067326281,0.7123234871697962,0.9170312086045755,0.6632500792551912,0.5045870111811611,0.4210921244923261,0.4026117130214281,code
23,Test case 23,0.8763888494350022,0.7339234863986248,0.9212261430178204,0.7789027598529188,0.6781616191272344,0.4817070017602636,0.446674772130116,0.45220677009368637,qa
24,Test case 24,0.7045385251422839,0.8162791842170988,0.7735369142574366,0.8051237207132826,0.7208700134375953,0.6402299316679726,0.2984359325719055,0.24556695237989254,code
25,Test case 25,0.8610836378692223,0.8173848360789036,0.783665342008416,0.6593713015452867,0.6087129684828984,0.5418917718543869,0.47773053910524016,0.31819079642044945,code
26,Test case 26,0.7073536088576254,0.6806603308622012,0.7896797631487927,0.6185510061128658,0.7190783417058604,0.556277414460805,0.39835910237149513,0.5109812519874752,code
27,Test case 27,0.8858334071196922,0.7642699173592308,0.7969769234479969,0.6004909334135292,0.4175839189403542,0.592267873880142,0.5150631500118215,0.48777117601138337,code
28,Test case 28,0.637135087548148,0.8090084927809835,0.7274255873267991,0.6297440561017598,0.5157977583809961,0.5908145487640951,0.41203205246861063,0.6253375198724316,math
29,Test case 29,0.6648413165709413,0.7496450385442008,0.703639648566401,0.473293185254376,0.6378157116022171,0.4213530671883078,0.5175970816977787,0.5842956331631226,code
30,Test case 30,0.9318548716439998,1.0,0.7523958916661134,0.6060794942822684,0.6543919247093506,0.6929109229312002,0.4926742810686228,0.4269289027515177,code
31,Test case 31,0.7953161544805217,0.7089947754971897,0.851394680605633,0.6225361129654443,0.5302503426617072,0.5764039294757821,0.6743470344470892,0.4972953564713271,code
32,Test case 32,0.7512141926367759,0.9107995896711856,0.848338104557924,0.6610356111319445,0.6473705705548873,0.5440203880034994,0.5568646551881765,0.4183396557096926,qa
33,Test case 33,0.9770845621075548,0.8785031241720215,0.7116744381454445,0.6917464395461578,0.5590445465598454,0.607370314802689,0.3231790698866268,0.6554809818638649,qa
34,Test case 34,0.8827626217328415,0.7914709294067157,0.8124986551810968,0.7148165154339896,0.5937326620058548,0.5879399336472005,0.3806539727325863,0.56490146960524,math
35,Test case 35,0.9372090195533783,0.7063362374719181,0.7162558194103189,0.6770788913271326,0.7239059514950725,0.6409919832346845,0.5126636580420905,0.46696850908577514,qa
36,Test case 36,0.833375792767917,0.7160316108179658,0.7391013406578101,0.6204271199371529,0.7123223211174314,0.6180840815008084,0.41415806230359203,0.47003947848763517,math
37,Test case 37,1.0,0.7410604129354919,0.6883619475588659,0.48223556424487657,0.5217225386922452,0.6360703371853409,0.2103060141192719,0.5944850287259809,math
38,Test case 38,0.7895486139440204,0.6142830146625164,0.7175497718236623,0.6210405677312493,0.5157034252265611,0.6993851048584658,0.6420974885262315,0.5079577847113848,math
39,Test case 39,1.0,0.6925106002772138,0.8698472926692536,0.581326364802728,0.5803112318732399,0.6526481691828114,0.5791652588333979,0.6058628017070087,qa
40,Test case 40,0.8438633959900087,0.6446094913207785,0.7449564004482093,0.725178103399289,0.6187539413112789,0.548237092252858,0.5592405444920343,0.23063520737411264,math
41,Test case 41,0.6845489605087254,0.9274446431749145,0.7492425365695174,0.769500168240798,0.5556387225710974,0.451995598678031,0.4464105525957656,0.49612282614987985,qa
42,Test case 42,0.8982848745748109,0.8547033820959646,0.5909925077884898,0.7724285352774225,0.7254928157085383,0.7310655075861658,0.5499105342438501,0.3984565135318615,code
43,Test case 43,0.8814762561455164,0.8714545527436889,0.7047898949510127,0.7542667021842107,0.656167555599427,0.540513376951003,0.43670682472076894,0.6256377987627992,math
44,Test case 44,0.744867818576077,0.8517403380113375,0.7115827953398128,0.6652188550261798,0.6620370824160143,0.516974972949662,0.5276285871646262,0.6046398687189829,code
45,Test case 45,0.7577780722865285,0.8095539051905591,0.6527999371699451,0.6263758720238389,0.49477468853407425,0.3906130325092704,0.41508453455920935,0.45328358091013066,math
46,Test case 46,0.8475302356915008,0.9389251760700565,0.737880826884642,0.603861153204722,0.7381576431669494,0.5981330248169254,0.6587717021984585,0.6035630978811032,math
47,Test case 47,0.8849747815247981,0.7317808772839691,0.6927960566915202,0.5278215369112536,0.3394116892045023,0.5791743746810913,0.35011919173467265,0.6283114519992506,qa
48,Test case 48,0.6029336717120599,0.8035241083938474,0.7437138712386439,0.7777567986222144,0.7048341166135084,0.4127742206607662,0.6303712400939403,0.4574406671926147,code
49,Test case 49,0.9553121452523803,0.8675630256395551,0.7478645866961791,0.6611003247784312,0.7148597451956485,0.6096131184990319,0.5110344399445902,0.6971933772431858,qa
50,Test case 50,0.8005502026185022,0.6607362196715298,0.6401388499320212,0.5539373992093413,0.5781884527007752,0.5144665222155704,0.45819615760865806,0.44686588473302774,math
51,Test case 51,0.7168252515601823,1.0,0.6958441074659667,0.5959222910004052,0.7487195931533138,0.8333172150145837,0.5238431493124309,0.4285479049664091,qa
52,Test case 52,0.9441066551451931,0.7957137191349014,0.743451713990369,0.5918740829281733,0.6151188161331368,0.5073495950766275,0.5804776578606752,0.5365872588584344,qa
53,Test case 53,0.8476382020581543,0.8070560879147021,0.8541442288299582,0.6828738770729412,0.6276717417613157,0.520766381065935,0.6438175308122969,0.4146209268857686,qa
54,Test case 54,0.9716165776782254,0.918544946024635,0.7613862029938597,0.7853182136784972,0.6553814501689931,0.4768080918602775,0.5384571594562103,0.4585339775794894,qa
55,Test case 55,0.8937952262979756,0.8843526761581653,0.6695207677225429,0.6437724736118703,0.940086062609677,0.6920733663899115,0.41807324861662937,0.590943442405091,math
56,Test case 56,0.8498485497051954,0.7966649447967887,0.7756147616386709,0.4533180770930637,0.7558719622368719,0.5270081348392389,0.512705869519436,0.45192188522172705,code
57,Test case 57,0.8347270055019844,0.805870086666947,0.9064691746464617,0.6596533950555366,0.6915416914998632,0.4917942989091646,0.6888221808090944,0.2804982207024692,math
58,Test case 58,0.8982712760556137,0.642442289762345,0.8273849329731875,0.662952038561709,0.5301481227684519,0.6349812152777685,0.6419106656941196,0.48673193878491966,qa
59,Test case 59,0.808646874119067,0.7372105650721452,0.7904669387578477,0.6560794054778765,0.6357875539765206,0.4262504207443958,0.598019204955293,0.3803706420947605,qa
60,Test case 60,0.76474274112535,0.8445781644730388,0.8082733032625178,0.6158253119238585,0.5401161620439328,0.626796768910609,0.5867115591550958,0.5365271157294547,qa
61,Test case 61,0.9109909122654644,0.8372464267614315,0.8797096898571487,0.7003153366440128,0.7036396561568528,0.7424256859458,0.5770878662035113,0.5196189715826246,code
62,Test case 62,0.835551215855557,0.9149737178575515,0.8432769651160517,0.6851855400863288,0.6354752690020571,0.6209464975692232,0.6230183405938441,0.5971400348166522,code
63,Test case 63,0.8533567648069006,0.7808070370348104,0.7923903238260515,0.6760883971587639,0.5089764034671819,0.6280755459117068,0.4614799785706666,0.5407532300792697,math
64,Test case 64,0.9589379836154608,0.6541284915140562,0.8425785076732941,0.7198355647157252,0.6295410297704217,0.6512917359764627,0.3716342505653565,0.5590244283658065,qa
65,Test case 65,0.8386123392264259,0.8985301859347106,0.6275491760878795,0.6355881462566433,0.5364868244569408,0.7352565171532661,0.5140432072165633,0.38309032398622866,math
66,Test case 66,0.8515033925541791,0.9364660774753444,0.5854877604802575,0.6299128616013633,0.6365501935623261,0.6852751102876247,0.42538469846508803,0.5303986495890503,qa
67,Test case 67,0.7900350488549068,0.8826816001427658,0.7514241507786686,0.8165837575299686,0.5355208397920458,0.6082526865130167,0.40164078160513866,0.6468451289360291,qa
68,Test case 68,0.893073993398185,0.7764937757713937,0.7425823566793395,0.7345069695429722,0.6241773347646528,0.6546748543493144,0.43511499948406396,0.38113500913632326,code
69,Test case 69,0.8849827912680088,0.8972957480448007,0.6813232803629599,0.7612660346657085,0.6964755576220809,0.4756922217392032,0.7556742495962258,0.6299738291727098,code
70,Test case 70,0.9400775131790557,1.0,0.8182995526970567,0.8011818871048355,0.6161233722360608,0.6419150733604465,0.5207553205504415,0.39506499087986696,math
71,Test case 71,0.7920871162993124,0.8043723743011904,0.549427927069162,0.7311658466339086,0.5823397447113325,0.46373011716733953,0.543333640778956,0.36480287549500257,qa
72,Test case 72,0.8042183030409814,0.6616834736326304,0.6822370601085053,0.7714102964850458,0.6417561935343177,0.5275834724225517,0.3849065764424317,0.47962004433548383,math
73,Test case 73,0.9292137399145469,0.7342286379019276,0.6872187312265241,0.5206369123644026,0.6911468335078568,0.25602949677139053,0.3227675612635941,0.521591041612881,math
74,Test case 74,0.8752213003362863,0.8554047428875479,0.5720841072043397,0.6989868157710313,0.5107102444403954,0.6044286802224605,0.4252375928309765,0.5411750123972265,qa
75,Test case 75,0.7593781873807305,0.6323767117673366,0.8851873864412161,0.6602995823899959,0.6474941868990917,0.499898513174879,0.6509624156637319,0.35382375792267984,qa
76,Test case 76,0.9806554067734501,0.8097974503483498,0.5997941588479534,0.8463398376614095,0.7531826533303114,0.6754002358061606,0.5405704037505092,0.4934540097254291,code
77,Test case 77,0.6801549431599749,0.8308908078887312,0.6768802799835171,0.7713359817517587,0.678794267756243,0.6033049753462546,0.5670023662872963,0.38144454285164947,code
78,Test case 78,0.9284284753263752,0.946369316838408,0.8265122614947991,0.6155269094921106,0.6272039860952943,0.6766953037558768,0.5809994610630632,0.30110777439294234,code
